#,Date-,Ch:1 - Temp   (°C),Ch:2 - Millivolts   (mv),pH,Button Down,Button Up,Host Connected,End of File
1,8/22/2023 14:00,25.84,5.31,6.74,,,,
2,8/22/2023 14:15,25.84,5.78,6.73,,,,
3,8/22/2023 14:30,25.87,6.14,6.73,,,,
4,8/22/2023 14:45,25.91,6.41,6.72,,,,
5,8/22/2023 15:00,25.94,6.53,6.72,,,,
6,8/22/2023 15:15,25.94,6.59,6.72,,,,
7,8/22/2023 15:30,25.94,6.63,6.72,,,,
8,8/22/2023 15:45,25.94,6.64,6.72,,,,
9,8/22/2023 16:00,25.94,6.66,6.72,,,,
10,8/22/2023 16:15,25.94,6.69,6.72,,,,
11,8/22/2023 16:30,25.94,6.73,6.72,,,,
12,8/22/2023 16:45,25.94,6.77,6.72,,,,
13,8/22/2023 17:00,25.91,6.8,6.72,,,,
14,8/22/2023 17:15,25.91,6.81,6.72,,,,
15,8/22/2023 17:30,25.94,6.84,6.72,,,,
16,8/22/2023 17:45,25.91,6.86,6.71,,,,
17,8/22/2023 18:00,25.91,6.84,6.72,,,,
18,8/22/2023 18:15,25.87,6.83,6.72,,,,
19,8/22/2023 18:30,25.79,6.81,6.72,,,,
20,8/22/2023 18:45,25.74,6.78,6.72,,,,
21,8/22/2023 19:00,25.7,6.75,6.72,,,,
22,8/22/2023 19:15,25.65,6.72,6.72,,,,
23,8/22/2023 19:30,25.62,6.72,6.72,,,,
24,8/22/2023 19:45,25.57,6.7,6.72,,,,
25,8/22/2023 20:00,25.53,6.67,6.72,,,,
26,8/22/2023 20:15,25.5,6.64,6.72,,,,
27,8/22/2023 20:30,25.45,6.61,6.72,,,,
28,8/22/2023 20:45,25.43,6.58,6.72,,,,
29,8/22/2023 21:00,25.4,6.55,6.72,,,,
30,8/22/2023 21:15,25.33,6.48,6.72,,,,
31,8/22/2023 21:30,25.28,6.44,6.72,,,,
32,8/22/2023 21:45,25.23,6.39,6.72,,,,
33,8/22/2023 22:00,25.19,6.38,6.72,,,,
34,8/22/2023 22:15,25.11,6.55,6.72,,,,
35,8/22/2023 22:30,25.06,6.5,6.72,,,,
36,8/22/2023 22:45,25.02,6.39,6.72,,,,
37,8/22/2023 23:00,24.97,6.27,6.72,,,,
38,8/22/2023 23:15,24.92,6.23,6.72,,,,
39,8/22/2023 23:30,24.87,6.19,6.73,,,,
40,8/22/2023 23:45,24.85,6.13,6.73,,,,
41,8/23/2023 0:00,24.8,6.11,6.73,,,,
42,8/23/2023 0:15,24.75,6.09,6.73,,,,
43,8/23/2023 0:30,24.7,6.06,6.73,,,,
44,8/23/2023 0:45,24.65,6.02,6.73,,,,
45,8/23/2023 1:00,24.6,5.98,6.73,,,,
46,8/23/2023 1:15,24.58,5.95,6.73,,,,
47,8/23/2023 1:30,24.53,5.91,6.73,,,,
48,8/23/2023 1:45,24.48,5.88,6.73,,,,
49,8/23/2023 2:00,24.46,5.83,6.73,,,,
50,8/23/2023 2:15,24.44,5.78,6.73,,,,
51,8/23/2023 2:30,24.39,5.75,6.73,,,,
52,8/23/2023 2:45,24.36,5.69,6.73,,,,
53,8/23/2023 3:00,24.32,5.69,6.73,,,,
54,8/23/2023 3:15,24.29,5.64,6.73,,,,
55,8/23/2023 3:30,24.27,5.66,6.73,,,,
56,8/23/2023 3:45,24.22,5.61,6.74,,,,
57,8/23/2023 4:00,24.19,5.61,6.74,,,,
58,8/23/2023 4:15,24.17,5.66,6.73,,,,
59,8/23/2023 4:30,24.12,5.67,6.73,,,,
60,8/23/2023 4:45,24.1,5.63,6.73,,,,
61,8/23/2023 5:00,24.05,5.64,6.73,,,,
62,8/23/2023 5:15,24.03,5.61,6.73,,,,
63,8/23/2023 5:30,23.98,5.53,6.74,,,,
64,8/23/2023 5:45,23.95,5.48,6.74,,,,
65,8/23/2023 6:00,23.93,5.45,6.74,,,,
66,8/23/2023 6:15,23.88,5.36,6.74,,,,
67,8/23/2023 6:30,23.86,5.44,6.74,,,,
68,8/23/2023 6:45,23.81,5.28,6.74,,,,
69,8/23/2023 7:00,23.79,5.22,6.74,,,,
70,8/23/2023 7:15,23.74,5.16,6.74,,,,
71,8/23/2023 7:30,23.71,5.06,6.74,,,,
72,8/23/2023 7:45,23.69,5.02,6.75,,,,
73,8/23/2023 8:00,23.64,5.05,6.74,,,,
74,8/23/2023 8:15,23.62,4.94,6.75,,,,
75,8/23/2023 8:30,23.59,4.88,6.75,,,,
76,8/23/2023 8:45,23.57,4.81,6.75,,,,
77,8/23/2023 9:00,23.52,4.75,6.75,,,,
78,8/23/2023 9:15,23.5,4.7,6.75,,,,
79,8/23/2023 9:30,23.45,4.73,6.75,,,,
80,8/23/2023 9:45,23.42,4.42,6.76,,,,
81,8/23/2023 10:00,23.4,4.42,6.76,,,,
82,8/23/2023 10:15,23.4,4.41,6.76,,,,
83,8/23/2023 10:30,23.42,4.47,6.75,,,,
84,8/23/2023 10:45,23.47,4.58,6.75,,,,
85,8/23/2023 11:00,23.52,4.5,6.75,,,,
86,8/23/2023 11:15,23.59,4.56,6.75,,,,
87,8/23/2023 11:30,23.69,4.69,6.75,,,,
88,8/23/2023 11:45,23.79,4.73,6.75,,,,
89,8/23/2023 12:00,23.88,4.77,6.75,,,,
90,8/23/2023 12:15,23.98,4.77,6.75,,,,
91,8/23/2023 12:30,24.03,4.75,6.75,,,,
92,8/23/2023 12:45,24.12,4.88,6.75,,,,
93,8/23/2023 13:00,24.19,4.59,6.75,,,,
94,8/23/2023 13:15,24.27,4.61,6.75,,,,
95,8/23/2023 13:30,24.32,4.48,6.75,,,,
96,8/23/2023 13:45,24.39,4.78,6.75,,,,
97,8/23/2023 14:00,24.41,4.67,6.75,,,,
98,8/23/2023 14:15,24.46,4.7,6.75,,,,
99,8/23/2023 14:30,24.51,4.75,6.75,,,,
100,8/23/2023 14:45,24.53,4.7,6.75,,,,
101,8/23/2023 15:00,24.56,4.77,6.75,,,,
102,8/23/2023 15:15,24.6,4.83,6.75,,,,
103,8/23/2023 15:30,24.65,4.8,6.75,,,,
104,8/23/2023 15:45,24.7,4.86,6.75,,,,
105,8/23/2023 16:00,24.75,4.88,6.75,,,,
106,8/23/2023 16:15,24.8,4.88,6.75,,,,
107,8/23/2023 16:30,24.87,4.92,6.75,,,,
108,8/23/2023 16:45,24.9,4.94,6.75,,,,
109,8/23/2023 17:00,24.94,4.95,6.75,,,,
110,8/23/2023 17:15,24.97,4.91,6.75,,,,
111,8/23/2023 17:30,24.97,4.75,6.75,,,,
112,8/23/2023 17:45,24.97,4.66,6.75,,,,
113,8/23/2023 18:00,24.94,4.59,6.75,,,,
114,8/23/2023 18:15,24.92,4.48,6.76,,,,
115,8/23/2023 18:30,24.87,4.39,6.76,,,,
116,8/23/2023 18:45,24.82,4.28,6.76,,,,
117,8/23/2023 19:00,24.77,4.27,6.76,,,,
118,8/23/2023 19:15,24.73,4.3,6.76,,,,
119,8/23/2023 19:30,24.65,4.3,6.76,,,,
120,8/23/2023 19:45,24.6,4.23,6.76,,,,
121,8/23/2023 20:00,24.56,4.2,6.76,,,,
122,8/23/2023 20:15,24.48,4.17,6.76,,,,
123,8/23/2023 20:30,24.44,4.16,6.76,,,,
124,8/23/2023 20:45,24.39,4.11,6.76,,,,
125,8/23/2023 21:00,24.34,3.91,6.77,,,,
126,8/23/2023 21:15,24.29,4,6.76,,,,
127,8/23/2023 21:30,24.24,4.02,6.76,,,,
128,8/23/2023 21:45,24.19,3.98,6.76,,,,
129,8/23/2023 22:00,24.17,3.94,6.76,,,,
130,8/23/2023 22:15,24.12,3.81,6.77,,,,
131,8/23/2023 22:30,24.07,3.78,6.77,,,,
132,8/23/2023 22:45,24.03,3.73,6.77,,,,
133,8/23/2023 23:00,23.98,3.63,6.77,,,,
134,8/23/2023 23:15,23.95,3.56,6.77,,,,
135,8/23/2023 23:30,23.91,3.55,6.77,,,,
136,8/23/2023 23:45,23.88,3.64,6.77,,,,
137,8/24/2023 0:00,23.83,3.64,6.77,,,,
138,8/24/2023 0:15,23.81,3.59,6.77,,,,
139,8/24/2023 0:30,23.76,3.55,6.77,,,,
140,8/24/2023 0:45,23.74,3.52,6.77,,,,
141,8/24/2023 1:00,23.71,3.52,6.77,,,,
142,8/24/2023 1:15,23.69,3.48,6.77,,,,
143,8/24/2023 1:30,23.66,3.47,6.77,,,,
144,8/24/2023 1:45,23.62,3.45,6.77,,,,
145,8/24/2023 2:00,23.59,3.45,6.77,,,,
146,8/24/2023 2:15,23.57,3.44,6.77,,,,
147,8/24/2023 2:30,23.54,3.42,6.77,,,,
148,8/24/2023 2:45,23.52,3.44,6.77,,,,
149,8/24/2023 3:00,23.5,3.44,6.77,,,,
150,8/24/2023 3:15,23.47,3.44,6.77,,,,
151,8/24/2023 3:30,23.45,3.41,6.77,,,,
152,8/24/2023 3:45,23.42,3.44,6.77,,,,
153,8/24/2023 4:00,23.4,3.41,6.77,,,,
154,8/24/2023 4:15,23.38,3.39,6.77,,,,
155,8/24/2023 4:30,23.35,3.39,6.77,,,,
156,8/24/2023 4:45,23.33,3.39,6.77,,,,
157,8/24/2023 5:00,23.3,3.39,6.77,,,,
158,8/24/2023 5:15,23.28,3.34,6.77,,,,
159,8/24/2023 5:30,23.26,3.34,6.77,,,,
160,8/24/2023 5:45,23.26,3.3,6.78,,,,
161,8/24/2023 6:00,23.23,3.28,6.78,,,,
162,8/24/2023 6:15,23.21,3.42,6.77,,,,
163,8/24/2023 6:30,23.18,3.44,6.77,,,,
164,8/24/2023 6:45,23.16,3.47,6.77,,,,
165,8/24/2023 7:00,23.14,3.58,6.77,,,,
166,8/24/2023 7:15,23.11,3.5,6.77,,,,
167,8/24/2023 7:30,23.09,3.48,6.77,,,,
168,8/24/2023 7:45,23.09,3.41,6.77,,,,
169,8/24/2023 8:00,23.06,3.33,6.77,,,,
170,8/24/2023 8:15,23.06,3.45,6.77,,,,
171,8/24/2023 8:30,23.04,2.97,6.78,,,,
172,8/24/2023 8:45,23.04,3.3,6.77,,,,
173,8/24/2023 9:00,23.04,3.08,6.78,,,,
174,8/24/2023 9:15,23.04,3.14,6.78,,,,
175,8/24/2023 9:30,23.04,3.05,6.78,,,,
176,8/24/2023 9:45,23.04,3,6.78,,,,
177,8/24/2023 10:00,23.04,3,6.78,,,,
178,8/24/2023 10:15,23.06,3,6.78,,,,
179,8/24/2023 10:30,23.09,3.06,6.78,,,,
180,8/24/2023 10:45,23.11,3.11,6.78,,,,
181,8/24/2023 11:00,23.18,3.25,6.78,,,,
182,8/24/2023 11:15,23.23,3.17,6.78,,,,
183,8/24/2023 11:30,23.3,3.2,6.78,,,,
184,8/24/2023 11:45,23.4,3.19,6.78,,,,
185,8/24/2023 12:00,23.47,3.25,6.78,,,,
186,8/24/2023 12:15,23.57,3.28,6.78,,,,
187,8/24/2023 12:30,23.62,3.53,6.77,,,,
188,8/24/2023 12:45,23.69,3.47,6.77,,,,
189,8/24/2023 13:00,23.74,3.41,6.77,,,,
190,8/24/2023 13:15,23.79,3.41,6.77,,,,
191,8/24/2023 13:30,23.83,3.47,6.77,,,,
192,8/24/2023 13:45,23.88,3.61,6.77,,,,
193,8/24/2023 14:00,23.95,3.61,6.77,,,,
194,8/24/2023 14:15,24,3.77,6.77,,,,
195,8/24/2023 14:30,24.07,3.81,6.77,,,,
196,8/24/2023 14:45,24.12,3.8,6.77,,,,
197,8/24/2023 15:00,24.19,3.8,6.77,,,,
198,8/24/2023 15:15,24.22,3.84,6.77,,,,
199,8/24/2023 15:30,24.27,3.89,6.77,,,,
200,8/24/2023 15:45,24.32,3.81,6.77,,,,
201,8/24/2023 16:00,24.36,3.73,6.77,,,,
202,8/24/2023 16:15,24.41,3.73,6.77,,,,
203,8/24/2023 16:30,24.44,3.81,6.77,,,,
204,8/24/2023 16:45,24.46,3.89,6.77,,,,
205,8/24/2023 17:00,24.48,3.89,6.77,,,,
206,8/24/2023 17:15,24.48,3.92,6.76,,,,
207,8/24/2023 17:30,24.48,3.95,6.76,,,,
208,8/24/2023 17:45,24.48,3.97,6.76,,,,
209,8/24/2023 18:00,24.46,4.06,6.76,,,,
210,8/24/2023 18:15,24.44,4.09,6.76,,,,
211,8/24/2023 18:30,24.41,4,6.76,,,,
212,8/24/2023 18:45,24.41,3.97,6.76,,,,
213,8/24/2023 19:00,24.39,3.98,6.76,,,,
214,8/24/2023 19:15,24.36,3.97,6.76,,,,
215,8/24/2023 19:30,24.34,3.97,6.76,,,,
216,8/24/2023 19:45,24.32,3.92,6.76,,,,
217,8/24/2023 20:00,24.29,3.91,6.77,,,,
218,8/24/2023 20:15,24.27,3.89,6.77,,,,
219,8/24/2023 20:30,24.24,3.86,6.77,,,,
220,8/24/2023 20:45,24.24,3.89,6.77,,,,
221,8/24/2023 21:00,24.22,3.92,6.76,,,,
222,8/24/2023 21:15,24.19,3.94,6.76,,,,
223,8/24/2023 21:30,24.17,3.94,6.76,,,,
224,8/24/2023 21:45,24.15,3.92,6.76,,,,
225,8/24/2023 22:00,24.12,3.94,6.76,,,,
226,8/24/2023 22:15,24.12,3.89,6.77,,,,
227,8/24/2023 22:30,24.1,3.94,6.76,,,,
228,8/24/2023 22:45,24.07,3.88,6.77,,,,
229,8/24/2023 23:00,24.05,3.84,6.77,,,,
230,8/24/2023 23:15,24.03,3.83,6.77,,,,
231,8/24/2023 23:30,24,3.8,6.77,,,,
232,8/24/2023 23:45,23.98,3.77,6.77,,,,
233,8/25/2023 0:00,23.98,3.78,6.77,,,,
234,8/25/2023 0:15,23.95,3.78,6.77,,,,
235,8/25/2023 0:30,23.93,3.83,6.77,,,,
236,8/25/2023 0:45,23.91,3.84,6.77,,,,
237,8/25/2023 1:00,23.88,3.86,6.77,,,,
238,8/25/2023 1:15,23.88,3.83,6.77,,,,
239,8/25/2023 1:30,23.86,3.84,6.77,,,,
240,8/25/2023 1:45,23.83,3.83,6.77,,,,
241,8/25/2023 2:00,23.83,3.95,6.76,,,,
242,8/25/2023 2:15,23.81,3.8,6.77,,,,
243,8/25/2023 2:30,23.81,3.95,6.76,,,,
244,8/25/2023 2:45,23.79,3.45,6.77,,,,
245,8/25/2023 3:00,23.79,3.34,6.77,,,,
246,8/25/2023 3:15,23.76,3.28,6.78,,,,
247,8/25/2023 3:30,23.76,3.36,6.77,,,,
248,8/25/2023 3:45,23.74,3.28,6.78,,,,
249,8/25/2023 4:00,23.71,3.28,6.78,,,,
250,8/25/2023 4:15,23.71,3.27,6.78,,,,
251,8/25/2023 4:30,23.69,3.3,6.78,,,,
252,8/25/2023 4:45,23.69,3.27,6.78,,,,
253,8/25/2023 5:00,23.69,3.28,6.78,,,,
254,8/25/2023 5:15,23.66,3.3,6.78,,,,
255,8/25/2023 5:30,23.66,3.33,6.77,,,,
256,8/25/2023 5:45,23.66,3.33,6.77,,,,
257,8/25/2023 6:00,23.64,3.31,6.78,,,,
258,8/25/2023 6:15,23.64,3.31,6.78,,,,
259,8/25/2023 6:30,23.64,3.33,6.77,,,,
260,8/25/2023 6:45,23.64,3.31,6.78,,,,
261,8/25/2023 7:00,23.62,3.3,6.78,,,,
262,8/25/2023 7:15,23.62,3.11,6.78,,,,
263,8/25/2023 7:30,23.59,3.14,6.78,,,,
264,8/25/2023 7:45,23.59,3.06,6.78,,,,
265,8/25/2023 8:00,23.57,3.02,6.78,,,,
266,8/25/2023 8:15,23.57,2.98,6.78,,,,
267,8/25/2023 8:30,23.57,2.97,6.78,,,,
268,8/25/2023 8:45,23.57,3.03,6.78,,,,
269,8/25/2023 9:00,23.57,2.86,6.78,,,,
270,8/25/2023 9:15,23.59,2.81,6.78,,,,
271,8/25/2023 9:30,23.59,2.91,6.78,,,,
272,8/25/2023 9:45,23.59,2.95,6.78,,,,
273,8/25/2023 10:00,23.62,2.97,6.78,,,,
274,8/25/2023 10:15,23.64,2.98,6.78,,,,
275,8/25/2023 10:30,23.66,3,6.78,,,,
276,8/25/2023 10:45,23.71,3.02,6.78,,,,
277,8/25/2023 11:00,23.76,3.05,6.78,,,,
278,8/25/2023 11:15,23.81,3.13,6.78,,,,
279,8/25/2023 11:30,23.88,3.28,6.78,,,,
280,8/25/2023 11:45,23.95,3.36,6.77,,,,
281,8/25/2023 12:00,24.03,3.53,6.77,,,,
282,8/25/2023 12:15,24.1,3.59,6.77,,,,
283,8/25/2023 12:30,24.17,3.67,6.77,,,,
284,8/25/2023 12:45,24.24,3.72,6.77,,,,
285,8/25/2023 13:00,24.29,3.77,6.77,,,,
286,8/25/2023 13:15,24.36,3.84,6.77,,,,
287,8/25/2023 13:30,24.41,3.86,6.77,,,,
288,8/25/2023 13:45,24.48,3.95,6.76,,,,
289,8/25/2023 14:00,24.53,4,6.76,,,,
290,8/25/2023 14:15,24.6,4.06,6.76,,,,
291,8/25/2023 14:30,24.68,4.2,6.76,,,,
292,8/25/2023 14:45,24.73,4.19,6.76,,,,
293,8/25/2023 15:00,24.77,4.25,6.76,,,,
294,8/25/2023 15:15,24.85,4.33,6.76,,,,
295,8/25/2023 15:30,24.9,4.42,6.76,,,,
296,8/25/2023 15:45,24.94,4.45,6.76,,,,
297,8/25/2023 16:00,24.97,4.45,6.76,,,,
298,8/25/2023 16:15,24.99,4.47,6.76,,,,
299,8/25/2023 16:30,25.02,4.5,6.76,,,,
300,8/25/2023 16:45,25.04,4.59,6.75,,,,
301,8/25/2023 17:00,25.06,4.56,6.75,,,,
302,8/25/2023 17:15,25.09,4.61,6.75,,,,
303,8/25/2023 17:30,25.09,4.63,6.75,,,,
304,8/25/2023 17:45,25.09,4.61,6.75,,,,
305,8/25/2023 18:00,25.06,4.59,6.75,,,,
306,8/25/2023 18:15,25.04,4.53,6.75,,,,
307,8/25/2023 18:30,25.02,4.67,6.75,,,,
308,8/25/2023 18:45,24.99,4.77,6.75,,,,
309,8/25/2023 19:00,24.94,4.75,6.75,,,,
310,8/25/2023 19:15,24.92,4.69,6.75,,,,
311,8/25/2023 19:30,24.9,4.56,6.75,,,,
312,8/25/2023 19:45,24.87,4.52,6.75,,,,
313,8/25/2023 20:00,24.82,4.5,6.76,,,,
314,8/25/2023 20:15,24.8,4.45,6.76,,,,
315,8/25/2023 20:30,24.77,4.42,6.76,,,,
316,8/25/2023 20:45,24.75,4.45,6.76,,,,
317,8/25/2023 21:00,24.73,4.42,6.76,,,,
318,8/25/2023 21:15,24.7,4.41,6.76,,,,
