#,Date,"Low Range, μS/cm (LGR S/N: 21551159, SEN S/N: 21551159)","High Range, μS/cm (LGR S/N: 21551159, SEN S/N: 21551159)","Temp, °C (LGR S/N: 21551159, SEN S/N: 21551159)",Specific_Conductance
1,4/21/2023 11:00,0,0,27.7,0
2,4/21/2023 11:15,0,0,27.56,0
3,4/21/2023 11:30,0,0,27.53,0
4,4/21/2023 11:45,0,0,27.62,0
5,4/21/2023 12:00,0,0,27.99,0
6,4/21/2023 12:15,0,0,28.65,0
7,4/21/2023 12:30,0,0,29.54,0
8,4/21/2023 12:45,0,0,30.58,0
9,4/21/2023 13:00,0,0,30.87,0
10,4/21/2023 13:15,0,0,30.91,0
11,4/21/2023 13:30,0,0,32.02,0
12,4/21/2023 13:45,0,0,33.95,0
13,4/21/2023 14:00,0,0,34.77,0
14,4/21/2023 14:15,0,0,33.98,0
15,4/21/2023 14:30,0,0,33.36,0
16,4/21/2023 14:45,0,0,32.84,0
17,4/21/2023 15:00,0,0,32.38,0
18,4/21/2023 15:15,0,0,32.42,0
19,4/21/2023 15:30,0,0,32.64,0
20,4/21/2023 15:45,0,0,32.53,0
21,4/21/2023 16:00,0,0,32.16,0
22,4/21/2023 16:15,0,0,32.46,0
23,4/21/2023 16:30,0,0,33.12,0
24,4/21/2023 16:45,0,0,33.43,0
25,4/21/2023 17:00,0,0,33.56,0
26,4/21/2023 17:15,0,0,33.57,0
27,4/21/2023 17:30,0,0,33.75,0
28,4/21/2023 17:45,0,0,33.85,0
29,4/21/2023 18:00,0,0,33.75,0
30,4/21/2023 18:15,0,0,33.67,0
31,4/21/2023 18:30,0,0,33.07,0
32,4/21/2023 18:45,0,0,31.34,0
33,4/21/2023 19:00,0,0,29.67,0
34,4/21/2023 19:15,0,0,28.36,0
35,4/21/2023 19:30,0,0,27.34,0
36,4/21/2023 19:45,0,0,26.45,0
37,4/21/2023 20:00,0,0,25.69,0
38,4/21/2023 20:15,0,0,25.01,0
39,4/21/2023 20:30,0,0,24.38,0
40,4/21/2023 20:45,0,0,23.74,0
41,4/21/2023 21:00,0,0,23.13,0
42,4/21/2023 21:15,0,0,22.63,0
43,4/21/2023 21:30,0,0,22.16,0
44,4/21/2023 21:45,0,0,21.66,0
45,4/21/2023 22:00,0,0,21.17,0
46,4/21/2023 22:15,0,0,20.82,0
47,4/21/2023 22:30,0,0,20.61,0
48,4/21/2023 22:45,0,0,20.44,0
49,4/21/2023 23:00,0,0,20.19,0
50,4/21/2023 23:15,0,0,20.02,0
51,4/21/2023 23:30,0,0,19.82,0
52,4/21/2023 23:45,0,0,19.63,0
53,4/22/2023 0:00,0,0,19.52,0
54,4/22/2023 0:15,0,0,19.39,0
55,4/22/2023 0:30,0,0,19.28,0
56,4/22/2023 0:45,0,0,19.16,0
57,4/22/2023 1:00,0,0,19.03,0
58,4/22/2023 1:15,0,0,18.9,0
59,4/22/2023 1:30,0,0,18.77,0
60,4/22/2023 1:45,0,0,18.59,0
61,4/22/2023 2:00,0,0,18.4,0
62,4/22/2023 2:15,0,0,18.22,0
63,4/22/2023 2:30,0,0,18.06,0
64,4/22/2023 2:45,0,0,17.87,0
65,4/22/2023 3:00,0,0,17.7,0
66,4/22/2023 3:15,0,0,17.54,0
67,4/22/2023 3:30,0,0,17.4,0
68,4/22/2023 3:45,0,0,17.25,0
69,4/22/2023 4:00,0,0,17.1,0
70,4/22/2023 4:15,0,0,17.01,0
71,4/22/2023 4:30,0,0,16.95,0
72,4/22/2023 4:45,0,0,16.79,0
73,4/22/2023 5:00,0,0,16.63,0
74,4/22/2023 5:15,0,0,16.52,0
75,4/22/2023 5:30,0,0,16.38,0
76,4/22/2023 5:45,0,0,16.23,0
77,4/22/2023 6:00,0,0,16.16,0
78,4/22/2023 6:15,0,0,16.07,0
79,4/22/2023 6:30,0,0,15.99,0
80,4/22/2023 6:45,0,0,15.96,0
81,4/22/2023 7:00,0,0,16.02,0
82,4/22/2023 7:15,0,0,16.2,0
83,4/22/2023 7:30,0,0,16.42,0
84,4/22/2023 7:45,0,0,16.62,0
85,4/22/2023 8:00,0,0,16.85,0
86,4/22/2023 8:15,0,0,17.11,0
87,4/22/2023 8:30,0,0,17.56,0
88,4/22/2023 8:45,0,0,17.99,0
89,4/22/2023 9:00,0,0,18.46,0
90,4/22/2023 9:15,0,0,19.21,0
91,4/22/2023 9:30,0,0,19.84,0
92,4/22/2023 9:45,0,0,20.28,0
93,4/22/2023 10:00,0,0,20.59,0
94,4/22/2023 10:15,0,0,20.91,0
95,4/22/2023 10:30,0,0,21.38,0
96,4/22/2023 10:45,0,0,21.98,0
97,4/22/2023 11:00,0,0,22.28,0
98,4/22/2023 11:15,0,0,22.72,0
99,4/22/2023 11:30,0,0,23.4,0
100,4/22/2023 11:45,0,0,24.12,0
101,4/22/2023 12:00,0,0,24.8,0
102,4/22/2023 12:15,0,0,25.33,0
103,4/22/2023 12:30,0,0,25.79,0
104,4/22/2023 12:45,0,0,26.01,0
105,4/22/2023 13:00,0,0,26,0
106,4/22/2023 13:15,0,0,25.8,0
107,4/22/2023 13:30,0,0,25.37,0
108,4/22/2023 13:45,0,0,25.38,0
109,4/22/2023 14:00,0,0,25.79,0
110,4/22/2023 14:15,0,0,26.26,0
111,4/22/2023 14:30,0,0,26.45,0
112,4/22/2023 14:45,0,0,26.41,0
113,4/22/2023 15:00,0,0,24.98,0
114,4/22/2023 15:15,0,0,22.79,0
115,4/22/2023 15:30,0,0,21.48,0
116,4/22/2023 15:45,0,0,21.19,0
117,4/22/2023 16:00,0,0,21.54,0
118,4/22/2023 16:15,0,0,21.35,0
119,4/22/2023 16:30,0,0,20.96,0
120,4/22/2023 16:45,0,0,20.78,0
121,4/22/2023 17:00,0,0,22.23,0
122,4/22/2023 17:15,0,0,23.17,0
123,4/22/2023 17:30,0,0,22.45,0
124,4/22/2023 17:45,0,0,21.77,0
125,4/22/2023 18:00,0,0,21.3,0
126,4/22/2023 18:15,0,0,20.97,0
127,4/22/2023 18:30,0,0,20.68,0
128,4/22/2023 18:45,0,0,20.39,0
129,4/22/2023 19:00,0,0,20.23,0
130,4/22/2023 19:15,0,0,20.13,0
131,4/22/2023 19:30,0,0,20.07,0
132,4/22/2023 19:45,0,0,20.04,0
133,4/22/2023 20:00,0,0,20.12,0
134,4/22/2023 20:15,0,0,19.72,0
135,4/22/2023 20:30,0,0,19.28,0
136,4/22/2023 20:45,0,0,18.78,0
137,4/22/2023 21:00,0,0,18.5,0
138,4/22/2023 21:15,0,0,18.37,0
139,4/22/2023 21:30,0,0,18.29,0
140,4/22/2023 21:45,0,0,18.17,0
141,4/22/2023 22:00,0,0,18.09,0
142,4/22/2023 22:15,0,0,17.99,0
143,4/22/2023 22:30,0,0,17.89,0
144,4/22/2023 22:45,0,0,17.75,0
145,4/22/2023 23:00,0,0,17.61,0
146,4/22/2023 23:15,0,0,17.46,0
147,4/22/2023 23:30,0,0,17.38,0
148,4/22/2023 23:45,0,0,17.26,0
149,4/23/2023 0:00,0,0,17.17,0
150,4/23/2023 0:15,0,0,17.05,0
151,4/23/2023 0:30,0,0,16.93,0
152,4/23/2023 0:45,0,0,16.77,0
153,4/23/2023 1:00,0,0,16.6,0
154,4/23/2023 1:15,0,0,16.39,0
155,4/23/2023 1:30,0,0,16.15,0
156,4/23/2023 1:45,0,0,15.89,0
157,4/23/2023 2:00,0,0,15.71,0
158,4/23/2023 2:15,0,0,15.53,0
159,4/23/2023 2:30,0,0,15.34,0
160,4/23/2023 2:45,0,0,15.15,0
161,4/23/2023 3:00,0,0,14.92,0
162,4/23/2023 3:15,0,0,14.76,0
163,4/23/2023 3:30,0,0,14.6,0
164,4/23/2023 3:45,0,0,14.43,0
165,4/23/2023 4:00,0,0,14.24,0
166,4/23/2023 4:15,0,0,14.03,0
167,4/23/2023 4:30,0,0,13.83,0
168,4/23/2023 4:45,0,0,13.66,0
169,4/23/2023 5:00,0,0,13.57,0
170,4/23/2023 5:15,0,0,13.51,0
171,4/23/2023 5:30,0,0,13.43,0
172,4/23/2023 5:45,0,0,13.32,0
173,4/23/2023 6:00,0,0,13.18,0
174,4/23/2023 6:15,0,0,13.04,0
175,4/23/2023 6:30,0,0,12.92,0
176,4/23/2023 6:45,0,0,12.88,0
177,4/23/2023 7:00,0,0,12.86,0
178,4/23/2023 7:15,0,0,12.88,0
179,4/23/2023 7:30,0,0,12.97,0
180,4/23/2023 7:45,0,0,13.12,0
181,4/23/2023 8:00,0,0,13.3,0
182,4/23/2023 8:15,0,0,13.55,0
183,4/23/2023 8:30,0,0,14.06,0
184,4/23/2023 8:45,0,0,14.38,0
185,4/23/2023 9:00,0,0,14.75,0
186,4/23/2023 9:15,0,0,15.29,0
187,4/23/2023 9:30,0,0,17.21,0
188,4/23/2023 9:45,0,0,18.09,0
189,4/23/2023 10:00,0,0,18.06,0
190,4/23/2023 10:15,0,0,18.19,0
191,4/23/2023 10:30,0,0,18.32,0
192,4/23/2023 10:45,0,0,18.47,0
193,4/23/2023 11:00,0,0,18.62,0
194,4/23/2023 11:15,0,0,18.59,0
195,4/23/2023 11:30,0,0,18.77,0
196,4/23/2023 11:45,0,0,18.98,0
197,4/23/2023 12:00,0,0,19.21,0
198,4/23/2023 12:15,0,0,19.66,0
199,4/23/2023 12:30,0,0,20.51,0
200,4/23/2023 12:45,0,0,21.38,0
201,4/23/2023 13:00,0,0,21.81,0
202,4/23/2023 13:15,0,0,21.86,0
203,4/23/2023 13:30,0,0,23.18,0
204,4/23/2023 13:45,0,0,25.47,0
205,4/23/2023 14:00,0,0,27.6,0
206,4/23/2023 14:15,0,0,28.99,0
207,4/23/2023 14:30,0,0,30.3,0
208,4/23/2023 14:45,0,0,30.81,0
209,4/23/2023 15:00,0,0,30.27,0
210,4/23/2023 15:15,0,0,30.38,0
211,4/23/2023 15:30,0,0,30.79,0
212,4/23/2023 15:45,0,0,30.46,0
213,4/23/2023 16:00,0,0,29.72,0
214,4/23/2023 16:15,0,0,29.59,0
215,4/23/2023 16:30,0,0,29.81,0
216,4/23/2023 16:45,0,0,30.16,0
217,4/23/2023 17:00,0,0,30.09,0
218,4/23/2023 17:15,0,0,29.78,0
219,4/23/2023 17:30,0,0,29.34,0
220,4/23/2023 17:45,0,0,28.66,0
221,4/23/2023 18:00,0,0,27.95,0
222,4/23/2023 18:15,0,0,27.21,0
223,4/23/2023 18:30,0,0,26.46,0
224,4/23/2023 18:45,0,0,25.43,0
225,4/23/2023 19:00,0,0,24.36,0
226,4/23/2023 19:15,0,0,23.4,0
227,4/23/2023 19:30,0,0,22.58,0
228,4/23/2023 19:45,0,0,21.98,0
229,4/23/2023 20:00,0,0,21.43,0
230,4/23/2023 20:15,0,0,20.89,0
231,4/23/2023 20:30,0,0,20.42,0
232,4/23/2023 20:45,0,0,19.88,0
233,4/23/2023 21:00,0,0,19.34,0
234,4/23/2023 21:15,0,0,18.88,0
235,4/23/2023 21:30,0,0,18.47,0
236,4/23/2023 21:45,0,0,18.14,0
237,4/23/2023 22:00,0,0,17.88,0
238,4/23/2023 22:15,0,0,17.67,0
239,4/23/2023 22:30,0,0,17.48,0
240,4/23/2023 22:45,0,0,17.36,0
241,4/23/2023 23:00,0,0,17.2,0
242,4/23/2023 23:15,0,0,17.07,0
243,4/23/2023 23:30,0,0,16.94,0
244,4/23/2023 23:45,0,0,16.88,0
245,4/24/2023 0:00,0,0,16.79,0
246,4/24/2023 0:15,0,0,16.9,0
247,4/24/2023 0:30,0,0,17.06,0
248,4/24/2023 0:45,0,0,17.17,0
249,4/24/2023 1:00,0,0,17.22,0
250,4/24/2023 1:15,0,0,17.23,0
251,4/24/2023 1:30,0,0,17.27,0
252,4/24/2023 1:45,0,0,17.31,0
253,4/24/2023 2:00,0,0,17.35,0
254,4/24/2023 2:15,0,0,17.37,0
255,4/24/2023 2:30,0,0,17.4,0
256,4/24/2023 2:45,0,0,17.38,0
257,4/24/2023 3:00,0,0,17.22,0
258,4/24/2023 3:15,0,0,17,0
259,4/24/2023 3:30,0,0,16.8,0
260,4/24/2023 3:45,0,0,16.72,0
261,4/24/2023 4:00,0,0,16.67,0
262,4/24/2023 4:15,0,0,16.65,0
263,4/24/2023 4:30,0,0,16.59,0
264,4/24/2023 4:45,0,0,16.48,0
265,4/24/2023 5:00,0,0,16.36,0
266,4/24/2023 5:15,0,0,16.18,0
267,4/24/2023 5:30,0,0,15.99,0
268,4/24/2023 5:45,0,0,15.79,0
269,4/24/2023 6:00,0,0,15.57,0
270,4/24/2023 6:15,0,0,15.28,0
271,4/24/2023 6:30,0,0,14.95,0
272,4/24/2023 6:45,0,0,14.61,0
273,4/24/2023 7:00,0,0,14.34,0
274,4/24/2023 7:15,0,0,14.14,0
275,4/24/2023 7:30,0,0,14.01,0
276,4/24/2023 7:45,0,0,13.86,0
