#,Date,"Abs Pres, kPa (LGR S/N: 1094066, SEN S/N: 1094066)","Temp, °C (LGR S/N: 1094066, SEN S/N: 1094066)","Abs Pres Barom., kPa (LGR S/N: 21132118, SEN S/N: 21132118)",Sensor_Depth
1,11/15/2023 10:00,,,103.011,
2,11/15/2023 10:15,109.096,19.472,102.998,0.623
3,11/15/2023 10:30,109.079,19.472,102.989,0.622
4,11/15/2023 10:45,109.079,19.472,103.028,0.618
5,11/15/2023 11:00,109.079,19.472,103.002,0.621
6,11/15/2023 11:15,109.044,19.472,103.018,0.616
7,11/15/2023 11:30,109.044,19.472,103.007,0.617
8,11/15/2023 11:45,108.993,19.472,102.982,0.614
9,11/15/2023 12:00,108.976,19.472,102.955,0.615
10,11/15/2023 12:15,108.942,19.472,102.939,0.613
11,11/15/2023 12:30,108.942,19.472,102.943,0.613
12,11/15/2023 12:45,108.925,19.472,102.899,0.616
13,11/15/2023 13:00,108.908,19.472,102.888,0.615
14,11/15/2023 13:15,108.891,19.472,102.858,0.616
15,11/15/2023 13:30,108.856,19.472,102.855,0.613
16,11/15/2023 13:45,108.839,19.472,102.85,0.612
17,11/15/2023 14:00,108.822,19.472,102.84,0.611
18,11/15/2023 14:15,108.805,19.472,102.813,0.612
19,11/15/2023 14:30,108.788,19.472,102.804,0.611
20,11/15/2023 14:45,108.771,19.472,102.808,0.609
21,11/15/2023 15:00,108.788,19.472,102.778,0.614
22,11/15/2023 15:15,108.754,19.472,102.744,0.614
23,11/15/2023 15:30,108.805,19.472,102.781,0.615
24,11/15/2023 15:45,108.788,19.472,102.759,0.616
25,11/15/2023 16:00,108.788,19.472,102.74,0.618
26,11/15/2023 16:15,108.771,19.472,102.736,0.617
27,11/15/2023 16:30,108.771,19.472,102.702,0.62
28,11/15/2023 16:45,108.771,19.472,102.691,0.621
29,11/15/2023 17:00,108.754,19.472,102.663,0.622
30,11/15/2023 17:15,108.737,19.472,102.633,0.624
31,11/15/2023 17:30,108.754,19.472,102.607,0.628
32,11/15/2023 17:45,108.754,19.472,102.613,0.627
33,11/15/2023 18:00,108.771,19.472,102.597,0.631
34,11/15/2023 18:15,108.788,19.472,102.624,0.63
35,11/15/2023 18:30,108.788,19.472,102.619,0.63
36,11/15/2023 18:45,108.788,19.472,102.602,0.632
37,11/15/2023 19:00,108.805,19.472,102.619,0.632
38,11/15/2023 19:15,108.822,19.472,102.646,0.631
39,11/15/2023 19:30,108.805,19.472,102.646,0.629
40,11/15/2023 19:45,108.822,19.472,102.651,0.63
41,11/15/2023 20:00,108.856,19.472,102.673,0.632
42,11/15/2023 20:15,108.856,19.472,102.685,0.63
43,11/15/2023 20:30,108.856,19.472,102.701,0.629
44,11/15/2023 20:45,108.874,19.472,102.684,0.632
45,11/15/2023 21:00,108.839,19.472,102.645,0.633
46,11/15/2023 21:15,108.839,19.472,102.629,0.634
47,11/15/2023 21:30,108.822,19.472,102.64,0.632
48,11/15/2023 21:45,108.802,19.377,102.607,0.633
49,11/15/2023 22:00,108.788,19.472,102.574,0.635
50,11/15/2023 22:15,108.771,19.472,102.574,0.633
51,11/15/2023 22:30,108.754,19.472,102.535,0.635
52,11/15/2023 22:45,108.737,19.472,102.524,0.635
53,11/15/2023 23:00,108.716,19.377,102.501,0.635
54,11/15/2023 23:15,108.686,19.472,102.484,0.634
55,11/15/2023 23:30,108.699,19.377,102.466,0.637
56,11/15/2023 23:45,108.699,19.377,102.448,0.639
57,11/16/2023 0:00,108.699,19.377,102.442,0.639
58,11/16/2023 0:15,108.665,19.377,102.414,0.639
59,11/16/2023 0:30,108.631,19.377,102.408,0.636
60,11/16/2023 0:45,108.631,19.377,102.374,0.639
61,11/16/2023 1:00,108.631,19.377,102.38,0.639
62,11/16/2023 1:15,108.631,19.377,102.385,0.638
63,11/16/2023 1:30,108.614,19.377,102.33,0.642
64,11/16/2023 1:45,108.58,19.377,102.341,0.637
65,11/16/2023 2:00,108.58,19.377,102.313,0.64
66,11/16/2023 2:15,108.563,19.377,102.306,0.639
67,11/16/2023 2:30,108.58,19.377,102.328,0.639
68,11/16/2023 2:45,108.58,19.377,102.317,0.64
69,11/16/2023 3:00,108.58,19.377,102.324,0.639
70,11/16/2023 3:15,108.58,19.377,102.308,0.641
71,11/16/2023 3:30,108.597,19.377,102.336,0.64
72,11/16/2023 3:45,108.597,19.377,102.336,0.64
73,11/16/2023 4:00,108.58,19.377,102.336,0.638
74,11/16/2023 4:15,108.614,19.377,102.357,0.639
75,11/16/2023 4:30,108.597,19.377,102.335,0.64
76,11/16/2023 4:45,108.597,19.377,102.324,0.641
77,11/16/2023 5:00,108.58,19.377,102.319,0.64
78,11/16/2023 5:15,108.597,19.377,102.347,0.639
79,11/16/2023 5:30,108.597,19.377,102.341,0.639
80,11/16/2023 5:45,108.597,19.377,102.333,0.64
81,11/16/2023 6:00,108.614,19.377,102.332,0.642
82,11/16/2023 6:15,108.614,19.377,102.313,0.644
83,11/16/2023 6:30,108.614,19.377,102.311,0.644
84,11/16/2023 6:45,108.614,19.377,102.298,0.645
85,11/16/2023 7:00,108.614,19.377,102.292,0.646
86,11/16/2023 7:15,108.631,19.377,102.314,0.645
87,11/16/2023 7:30,108.631,19.377,102.333,0.643
88,11/16/2023 7:45,108.648,19.377,102.358,0.643
89,11/16/2023 8:00,108.648,19.377,102.39,0.639
90,11/16/2023 8:15,108.665,19.377,102.418,0.638
91,11/16/2023 8:30,108.648,19.377,102.448,0.633
92,11/16/2023 8:45,108.665,19.377,102.502,0.63
93,11/16/2023 9:00,108.682,19.377,102.542,0.627
94,11/16/2023 9:15,108.682,19.377,102.598,0.622
95,11/16/2023 9:30,108.699,19.377,102.662,0.617
96,11/16/2023 9:45,108.682,19.377,102.674,0.614
97,11/16/2023 10:00,108.665,19.377,102.689,0.611
98,11/16/2023 10:15,108.665,19.377,102.695,0.61
99,11/16/2023 10:30,108.665,19.377,102.692,0.61
100,11/16/2023 10:45,108.648,19.377,102.722,0.605
101,11/16/2023 11:00,108.631,19.377,102.722,0.604
102,11/16/2023 11:15,108.614,19.377,102.677,0.607
103,11/16/2023 11:30,108.58,19.377,102.677,0.603
104,11/16/2023 11:45,108.563,19.377,102.659,0.603
105,11/16/2023 12:00,108.529,19.377,102.625,0.603
106,11/16/2023 12:15,108.512,19.377,102.632,0.601
107,11/16/2023 12:30,108.46,19.377,102.576,0.601
108,11/16/2023 12:45,108.426,19.377,102.524,0.603
109,11/16/2023 13:00,108.426,19.377,102.542,0.601
110,11/16/2023 13:15,108.409,19.377,102.507,0.603
111,11/16/2023 13:30,108.392,19.377,102.49,0.603
112,11/16/2023 13:45,108.358,19.377,102.489,0.6
113,11/16/2023 14:00,108.358,19.377,102.433,0.605
114,11/16/2023 14:15,108.324,19.377,102.426,0.603
115,11/16/2023 14:30,108.324,19.377,102.429,0.602
116,11/16/2023 14:45,108.29,19.377,102.405,0.601
117,11/16/2023 15:00,108.307,19.377,102.365,0.607
118,11/16/2023 15:15,108.29,19.377,102.314,0.611
119,11/16/2023 15:30,108.273,19.377,102.315,0.609
120,11/16/2023 15:45,108.273,19.377,102.319,0.608
121,11/16/2023 16:00,108.255,19.377,102.297,0.609
122,11/16/2023 16:15,108.255,19.377,102.283,0.61
123,11/16/2023 16:30,108.255,19.377,102.254,0.613
124,11/16/2023 16:45,108.238,19.377,102.218,0.615
125,11/16/2023 17:00,108.255,19.377,102.188,0.62
126,11/16/2023 17:15,108.238,19.377,102.155,0.621
127,11/16/2023 17:30,108.255,19.377,102.153,0.623
128,11/16/2023 17:45,108.255,19.377,102.125,0.626
129,11/16/2023 18:00,108.255,19.377,102.123,0.626
130,11/16/2023 18:15,108.252,19.282,102.097,0.629
131,11/16/2023 18:30,108.238,19.377,102.093,0.628
132,11/16/2023 18:45,108.218,19.282,102.083,0.627
133,11/16/2023 19:00,108.201,19.282,102.045,0.629
134,11/16/2023 19:15,108.235,19.282,102.073,0.63
135,11/16/2023 19:30,108.218,19.282,102.051,0.63
136,11/16/2023 19:45,108.218,19.282,102.03,0.632
137,11/16/2023 20:00,108.218,19.282,102.03,0.632
138,11/16/2023 20:15,108.218,19.282,102.052,0.63
139,11/16/2023 20:30,108.218,19.282,102.035,0.632
140,11/16/2023 20:45,108.218,19.282,102.041,0.631
141,11/16/2023 21:00,108.235,19.282,102.057,0.631
142,11/16/2023 21:15,108.235,19.282,102.041,0.633
143,11/16/2023 21:30,108.201,19.282,102.024,0.631
144,11/16/2023 21:45,108.235,19.282,102.013,0.636
145,11/16/2023 22:00,108.201,19.282,102.001,0.633
146,11/16/2023 22:15,108.201,19.282,101.985,0.635
147,11/16/2023 22:30,108.184,19.282,101.957,0.636
148,11/16/2023 22:45,108.184,19.282,101.957,0.636
149,11/16/2023 23:00,108.167,19.282,101.935,0.637
150,11/16/2023 23:15,108.15,19.282,101.896,0.639
151,11/16/2023 23:30,108.15,19.282,101.907,0.638
