#,"Date Time, GMT-05:00",DO_concentration,"Temp, °C (LGR S/N: 20880670, SEN S/N: 20880670)","DO Adj Conc, mg/L (LGR S/N: 20880670)","DO Percent Sat, % (LGR S/N: 20880670)","Abs Pres, kPa (LGR S/N: 21132118, SEN S/N: 21132118)"
1,2/9/2022 16:00,,,,,101.44
2,2/9/2022 16:15,,,,,101.406
3,2/9/2022 16:30,,,,,101.422
4,2/9/2022 16:45,,,,,101.444
5,2/9/2022 17:00,,,,,101.372
6,2/9/2022 17:15,,,,,101.35
7,2/9/2022 17:30,,,,,101.347
8,2/9/2022 17:45,,,,,101.304
9,2/9/2022 18:00,,,,,101.282
10,2/9/2022 18:15,,,,,101.246
11,2/9/2022 18:30,,,,,101.24
12,2/9/2022 18:45,,,,,101.246
13,2/9/2022 19:00,,,,,101.25
14,2/9/2022 19:15,,,,,101.275
15,2/9/2022 19:30,,,,,101.306
16,2/9/2022 19:45,,,,,101.315
17,2/9/2022 20:00,,,,,101.335
18,2/9/2022 20:15,,,,,101.311
19,2/9/2022 20:30,,,,,101.325
20,2/9/2022 20:45,,,,,101.319
21,2/9/2022 21:00,,,,,101.347
22,2/9/2022 21:15,,,,,101.336
23,2/9/2022 21:30,,,,,101.352
24,2/9/2022 21:45,,,,,101.335
25,2/9/2022 22:00,,,,,101.344
26,2/9/2022 22:15,,,,,101.366
27,2/9/2022 22:30,,,,,101.368
28,2/9/2022 22:45,,,,,101.357
29,2/9/2022 23:00,,,,,101.355
30,2/9/2022 23:15,,,,,101.36
31,2/9/2022 23:30,,,,,101.362
32,2/9/2022 23:45,,,,,101.382
33,2/10/2022 0:00,,,,,101.373
34,2/10/2022 0:15,,,,,101.362
35,2/10/2022 0:30,,,,,101.354
36,2/10/2022 0:45,,,,,101.329
37,2/10/2022 1:00,,,,,101.314
38,2/10/2022 1:15,,,,,101.317
39,2/10/2022 1:30,,,,,101.284
40,2/10/2022 1:45,,,,,101.303
41,2/10/2022 2:00,,,,,101.286
42,2/10/2022 2:15,,,,,101.289
43,2/10/2022 2:30,,,,,101.267
44,2/10/2022 2:45,,,,,101.256
45,2/10/2022 3:00,,,,,101.272
46,2/10/2022 3:15,,,,,101.255
47,2/10/2022 3:30,,,,,101.279
48,2/10/2022 3:45,,,,,101.288
49,2/10/2022 4:00,,,,,101.277
50,2/10/2022 4:15,,,,,101.31
51,2/10/2022 4:30,,,,,101.314
52,2/10/2022 4:45,,,,,101.339
53,2/10/2022 5:00,,,,,101.366
54,2/10/2022 5:15,,,,,101.374
55,2/10/2022 5:30,,,,,101.399
56,2/10/2022 5:45,,,,,101.418
57,2/10/2022 6:00,,,,,101.437
58,2/10/2022 6:15,,,,,101.446
59,2/10/2022 6:30,,,,,101.465
60,2/10/2022 6:45,,,,,101.484
61,2/10/2022 7:00,,,,,101.505
62,2/10/2022 7:15,,,,,101.499
63,2/10/2022 7:30,,,,,101.516
64,2/10/2022 7:45,,,,,101.522
65,2/10/2022 8:00,,,,,101.524
66,2/10/2022 8:15,,,,,101.57
67,2/10/2022 8:30,,,,,101.655
68,2/10/2022 8:45,,,,,101.906
69,2/10/2022 9:00,,,,,101.98
70,2/10/2022 9:15,,,,,102.031
71,2/10/2022 9:30,,,,,102.056
72,2/10/2022 9:45,,,,,102.043
73,2/10/2022 10:00,,,,,102.063
74,2/10/2022 10:15,,,,,102.057
75,2/10/2022 10:30,,,,,102.058
76,2/10/2022 10:45,,,,,102.058
77,2/10/2022 11:00,,,,,102.021
78,2/10/2022 11:15,,,,,102.009
79,2/10/2022 11:30,,,,,101.989
80,2/10/2022 11:45,,,,,101.973
81,2/10/2022 12:00,,,,,101.928
82,2/10/2022 12:15,,,,,101.864
83,2/10/2022 12:30,,,,,101.838
84,2/10/2022 12:45,,,,,101.815
85,2/10/2022 13:00,,,,,101.781
86,2/10/2022 13:15,,,,,101.753
87,2/10/2022 13:30,,,,,101.713
88,2/10/2022 13:45,,,,,101.682
89,2/10/2022 14:00,,,,,101.683
90,2/10/2022 14:15,,,,,101.663
91,2/10/2022 14:30,,,,,101.655
92,2/10/2022 14:45,,,,,101.644
93,2/10/2022 15:00,,,,,101.644
94,2/10/2022 15:15,,,,,101.621
95,2/10/2022 15:30,,,,,101.531
96,2/10/2022 15:45,,,,,101.514
97,2/10/2022 16:00,,,,,101.493
98,2/10/2022 16:15,,,,,101.495
99,2/10/2022 16:30,,,,,101.503
100,2/10/2022 16:45,,,,,101.497
101,2/10/2022 17:00,,,,,101.495
102,2/10/2022 17:15,,,,,101.491
103,2/10/2022 17:30,,,,,101.46
104,2/10/2022 17:45,,,,,101.483
105,2/10/2022 18:00,,,,,101.468
106,2/10/2022 18:15,,,,,101.467
107,2/10/2022 18:30,,,,,101.458
108,2/10/2022 18:45,,,,,101.45
109,2/10/2022 19:00,,,,,101.446
110,2/10/2022 19:15,,,,,101.472
111,2/10/2022 19:30,,,,,101.478
112,2/10/2022 19:45,,,,,101.473
113,2/10/2022 20:00,,,,,101.49
114,2/10/2022 20:15,,,,,101.485
115,2/10/2022 20:30,,,,,101.502
116,2/10/2022 20:45,,,,,101.502
117,2/10/2022 21:00,,,,,101.524
118,2/10/2022 21:15,,,,,101.513
119,2/10/2022 21:30,,,,,101.501
120,2/10/2022 21:45,,,,,101.501
121,2/10/2022 22:00,,,,,101.517
122,2/10/2022 22:15,,,,,101.506
123,2/10/2022 22:30,,,,,101.488
124,2/10/2022 22:45,,,,,101.503
125,2/10/2022 23:00,,,,,101.514
126,2/10/2022 23:15,,,,,101.507
127,2/10/2022 23:30,,,,,101.505
128,2/10/2022 23:45,,,,,101.483
